1513347649.3320000, 2998.1198, 640.2773
1513347649.3480000, 3020.1388, 606.1826
1513347649.3780000, 3022.1738, 616.7942
1513347649.3940001, 2997.5485, 664.2825
1513347649.4089999, 2966.9710, 666.4274
1513347649.4219999, 2980.9235, 671.7293
1513347649.4389999, 2986.3759, 677.5735
1513347649.4560001, 2964.1707, 684.6148
1513347649.4690001, 2961.3348, 683.4449
1513347649.4860001, 2959.2905, 684.5590
1513347649.4979999, 2953.1525, 685.3333
1513347649.5320001, 2969.0857, 691.5716
1513347649.5450001, 2951.2927, 688.1910
1513347649.5569999, 2944.3498, 686.5727
1513347649.5890000, 2951.1675, 681.6498
1513347649.6020000, 2951.2575, 676.2673
1513347649.6350000, 2909.1008, 682.3603
1513347649.6480000, 2909.6484, 682.4611
1513347649.6810000, 2932.8672, 669.5629
1513347649.6940000, 2934.0714, 672.4305
1513347649.7240000, 2938.9569, 671.7422
1513347649.7370000, 2940.0007, 689.3302
1513347649.7539999, 3017.7596, 798.3277
1513347649.7679999, 3002.3614, 779.8046
1513347649.7820001, 3002.6419, 775.1235
1513347649.7980001, 2989.2601, 746.8912
1513347649.8280001, 2984.4610, 733.3085
1513347649.8450000, 2984.5561, 732.5273
1513347649.8590000, 2983.4708, 686.9671
1513347649.8710001, 3003.3570, 698.2949
1513347649.8880000, 3020.3823, 715.6405
1513347649.9030001, 3061.0733, 717.7187
1513347649.9180000, 3034.3551, 720.2378
1513347649.9510000, 3065.5875, 723.2939
1513347649.9790001, 3099.2047, 730.0935
1513347649.9930000, 3098.7444, 730.1217
1513347650.0070000, 3106.6387, 725.6440
1513347650.0409999, 3122.1174, 717.2734
1513347650.0510001, 3123.2152, 716.4183
1513347650.0690000, 3148.2731, 708.1957
1513347650.0829999, 3166.4891, 678.9237
1513347650.0960000, 3148.3311, 693.8488
1513347650.1300001, 3147.8912, 692.6987
1513347650.1420000, 3139.7300, 693.0729
1513347650.1580000, 3057.2622, 700.0948
1513347650.1760001, 3020.0111, 705.3630
1513347650.1870000, 3009.4002, 707.8455
1513347650.2049999, 3007.8277, 706.2843
1513347650.2200000, 3007.0749, 706.5223
1513347650.2330000, 2994.7258, 713.1167
1513347650.2490001, 3003.5897, 710.2386
1513347650.2800000, 2996.0212, 706.1524
1513347650.2930000, 3002.7741, 701.4295
1513347650.3080001, 2986.4098, 704.0131
1513347650.3220000, 2981.5838, 749.2178
1513347650.3390000, 2987.1346, 767.7220
1513347650.3540001, 2981.9234, 746.5590
1513347650.3659999, 2985.2323, 755.4752
1513347650.3850000, 2995.0899, 747.9870
1513347650.3980000, 2984.0816, 749.1887
1513347650.4280000, 3001.0432, 711.1037
1513347650.4440000, 2998.8863, 713.4017
1513347650.4560001, 2999.4527, 713.2893
1513347650.4730000, 3000.0642, 705.9217
1513347650.4879999, 2991.0147, 712.5498
1513347650.5009999, 2995.8738, 717.2152
1513347650.5179999, 3020.5971, 687.0518
1513347650.5350001, 3011.8995, 693.8677
1513347650.5460000, 3008.0830, 693.1759
1513347650.5790000, 2999.3459, 697.6349
1513347650.5929999, 2992.7945, 700.3028
1513347650.6080000, 3015.8740, 719.3952
1513347650.6229999, 3028.1543, 727.6731
1513347650.6359999, 3008.6555, 738.7307
1513347650.6550000, 3012.9423, 743.5016
1513347650.6689999, 2993.6095, 735.7077
1513347650.6810000, 2979.2922, 729.7149
1513347650.6980000, 2992.6639, 734.1440
1513347650.7290001, 2986.3103, 724.6676
1513347650.7449999, 2991.2883, 724.1320
1513347650.7579999, 2987.3588, 724.0021
1513347650.7730000, 2992.3173, 719.2859
1513347650.7900000, 3004.8477, 711.5929
1513347650.8030000, 3034.4477, 705.5891
1513347650.8160000, 3044.3212, 732.5386
1513347650.8350000, 3029.1287, 714.4913
1513347650.8490000, 3012.7021, 728.9205
1513347650.8800001, 2964.1475, 733.6421
1513347650.8940001, 2959.5027, 735.1624
1513347650.9059999, 2988.3659, 721.9468
1513347650.9250000, 2967.8954, 730.6385
1513347650.9389999, 2958.0180, 724.4415
1513347650.9530001, 2968.2953, 719.3794
1513347650.9700000, 2983.6077, 718.0045
1513347650.9830000, 3007.6546, 721.2068
1513347650.9979999, 3006.4218, 733.7032
1513347651.0300000, 3019.4281, 736.2419
1513347651.0420001, 3013.6290, 729.3621
1513347651.0599999, 2987.2069, 714.8265
1513347651.0739999, 2977.8271, 606.4213
1513347651.0860000, 2975.1702, 552.5306
1513347651.1059999, 2976.0725, 551.5713
1513347651.1180000, 2974.2322, 600.9430
1513347651.1320000, 2970.0568, 658.6020
1513347651.1489999, 3026.0652, 700.5765
1513347651.1770000, 2964.1916, 716.9008
1513347651.1960001, 2962.3660, 716.2143
1513347651.2079999, 2996.8478, 710.1748
1513347651.2219999, 3010.1969, 690.3605
1513347651.2400000, 2969.5442, 691.7670
1513347651.2539999, 2970.0255, 707.0472
1513347651.2660000, 2969.2050, 713.7477
1513347651.2980001, 2966.2639, 715.0760
1513347651.3299999, 2977.4784, 714.4869
1513347651.3460000, 3060.7703, 696.1371
1513347651.3590000, 3018.8624, 699.2241
1513347651.3740001, 3030.6967, 697.5653
1513347651.3889999, 3012.2788, 700.2389
1513347651.4010000, 2994.8343, 702.1343
1513347651.4200001, 2994.2762, 691.5556
1513347651.4330001, 2986.2366, 693.9904
1513347651.4480000, 2981.0482, 688.0413
1513347651.4790001, 2988.2463, 687.4658
1513347651.4920001, 3012.9325, 694.4874
1513347651.5100000, 3041.4891, 693.5434
1513347651.5230000, 3044.0461, 686.1277
1513347651.5380001, 3048.9290, 697.1617
